Brand,Kategori,Nama Campaign,Tap Link,Komisi (%),Punya Sample (tier ini),Status Link,Berlaku Hingga,Status Kadaluarsa,Logo,SKU Baru,Last Update Sheet
Kuda Laut Biru,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJMXzTxQ3aDG,11%,,Aktif,,,,Tidak,
LocknLock,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJLHjYHMHvjN,11%-12%,,Aktif,,,,Tidak,
LVK (Baju Anak),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJyDv9y5gDLU,11%,,Aktif,,,,Tidak,
Magister,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJCJ6pBXwUpO,11%,,Aktif,,,,Tidak,
Man of The Match,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJIJP5yfwsVA,11/12%,Ya,Aktif,,,,Tidak,
Minimalist,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg0YEP5BwAw,11%,,Aktif,,,,Tidak,
Mise en scene,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg2wKvgcstk,11%,,Aktif,,,,Tidak,
MLAN,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJvOjd74zjeY,11%,,Aktif,,,,Tidak,
MLT,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJ2YsabHptwM,12%,,Aktif,,,,Tidak,
MLT,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AKnYueMIZYPp,11%,,Aktif,,,,Tidak,
Nalandu,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJbaYgJpjDS4,11%,,Aktif,,,,Tidak,
Newlab,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg2TcPCQsN6,11%,,Aktif,,,,Tidak,
Nurilab,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg1DBCYKm4O,11%,,Aktif,,,,Tidak,
Onix,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJTNGboS81Iu,11%,,Aktif,,,,Tidak,
Onlyou,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJWVopVXGKSn,11%,,Aktif,,,,Tidak,
Ovale,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AL2WZG16dpgm,11%,,Aktif,,,,Tidak,
Ownerjashujanraf,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJiJ5DvOt7dD,11%,,Aktif,,,,Tidak,
Pigeon Teens,Beauty & Health,HDA X Pigeon Teens,https://affiliate-id.tokopedia.com/api/v1/share/AL0lrn4eyeDA 11%,11%,Ya,Updated,,,,Tidak,10 July 2026
Pigeon Teens,Beauty & Health,HDA X Pigeon Teens,https://affiliate-id.tokopedia.com/api/v1/share/AJpSnzHhfI4R 12%,12%,Ya,Updated,,,,Tidak,10 July 2026
Pramy,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJdH8awkwR3p,11%,,Aktif,,,,Tidak,
RAJA KARPET,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJHriaKBizbS,11%,,Aktif,,,,Tidak,
Rapatech,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJmNy7gFGUfW,11%,,Not Updated,,,,Tidak,
Rifany Hijab,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJmysvNaehfS,11%,,Aktif,,,,Tidak,
Salsa Cosmetics,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKAhHP8OGBo9,11%,,Aktif,,,,Tidak,
Salsa Cosmetics,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AKAhKyDseEIZ,12%,,Aktif,,,,Tidak,
Sandy Collection,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKyUCWKnvwiM,11%,,Aktif,,,,Tidak,
Skin1004,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKBAOv3YrHMQ,11%,,Aktif,,,,Tidak,
Skin1004,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AKEQkNJHsWhk,11% 2.0,,Aktif,,,,Tidak,
Skin1004,Beauty & Health,Campaign 3,https://affiliate-id.tokopedia.com/api/v1/share/AKBAKQoR3S79,12%,,Aktif,,,,Tidak,
Skin1004,Beauty & Health,Campaign 4,https://affiliate-id.tokopedia.com/api/v1/share/AKEQpMAav4gy,12% 2.0,,Aktif,,,,Tidak,
Somebymi,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJpU86ip79HO,11%,,Aktif,,,,Tidak,
Somebymi,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJpTbOozSqYr,11% 2.0,,Aktif,,,,Tidak,
Somebymi,Beauty & Health,Campaign 3,https://affiliate-id.tokopedia.com/api/v1/share/AJimxnK9lRPJ,12%,,Aktif,,,,Tidak,
Somebymi,Beauty & Health,Campaign 4,https://affiliate-id.tokopedia.com/api/v1/share/AJimvmppbfDh,12% 2.0,,Aktif,,,,Tidak,
Sulwhasoo,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJSftG4E0W3M,11%,,Aktif,,,,Tidak,
This Is Your,Beauty & Health,BEAUTY SKINCARE X HDA,https://affiliate-id.tokopedia.com/api/v1/share/AKtZXnlgAu9n,11%,,Updated,,,,Tidak,21 July 2026
Torch.id (Fashion Tas),Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AIyVkHfJKTOH,11%,Ya,Aktif,,,,Tidak,
Valentfashion88,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJl1hQsdoyR2,11%,,Aktif,,,,Tidak,
Yesplus,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AIxuXT7aqgZO,11%,,Not Updated,,,,Tidak,
Advan Notebook,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJwda47ma8Xk,10%,,Updated,,,,Tidak,
Aestetic Gift (Tumbler),Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AL6STpQAoJbM,10%,,Aktif,,,,Tidak,
Afish Underwear,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AK4cOqhpUC33,10%,,Aktif,,,,Tidak,
Alchemy,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg1flVy39Fi,10%,,Aktif,,,,Tidak,
Animate,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJlTFuvOepTS,12%,,Aktif,,,,Tidak,
Animate,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AK72EI3uDFnr,10%,,Aktif,,,,Tidak,
Animate,Beauty & Health,Campaign 3,https://affiliate-id.tokopedia.com/api/v1/share/AJlTFuvOepTS,12%,,Aktif,,,,Tidak,
Animate,Beauty & Health,Campaign 4,https://affiliate-id.tokopedia.com/api/v1/share/AJMKv5m5PmAo,13%,,Aktif,,,,Tidak,
Azzura,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJutEF2KvTvd,10-13%,,Aktif,,,,Tidak,
Baisisi Bulumata,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJTOHmTr529D,"10,11,12%",,Aktif,,,,Tidak,
BRAVHOM,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJIN598VOKb6,10%-11%,,Aktif,,,,Tidak,
Carrie Koller,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJNoaVFoMp79,10%,Ya,Aktif,,,,Tidak,
Civago,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKiwj0A4cFYr,10%,,Aktif,,,,Tidak,
Cooger,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJIO50Kv8aRF,10%-11%,,Aktif,,,,Tidak,
CUCULEMON,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AL2Tw1FZ1GU1,10%,,Aktif,,,,Tidak,
Cypruz Kitchenware,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJWu17JwqF0I,10%,,Aktif,,,,Tidak,
Embryolisse,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKg2eOC7GzEh,10-13%,,Aktif,,,,Tidak,
Erspo Official,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJOVFBnmQz5v,10%,Ya,Aktif,,,,Tidak,
Ferger,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AIsTqQhZf1A4,10%,,Aktif,,,,Tidak,
Freemir,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJHra1uclgIQ,10%,,Aktif,,,,Tidak,
Garnier,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKPYbAZ3fErf,10-17%,,Updated,,,,Tidak,
Glamera,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKmAn7ajYwB6,10%,,Aktif,,,,Tidak,
Gloowbi,Beauty & Health,campaign sendiri,https://affiliate-id.tokopedia.com/api/v1/share/AJ0Q5laeeemZ,10%,,Aktif,,,,Tidak,
Gloowbi,Beauty & Health,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJ0Q5FkBitgP,11%,,Aktif,,,,Tidak,
Gloowbi,Beauty & Health,Campaign 3,https://affiliate-id.tokopedia.com/api/v1/share/AJPi4EvoRKfH,SKU KHUSUS HDA (10%),,Aktif,,,,Tidak,
Gloowbi,Beauty & Health,Campaign 4,https://affiliate-id.tokopedia.com/api/v1/share/AJPhxoqIbn5G,SKU KHUSUS HDA (11%),,Aktif,,,,Tidak,
Goojodoq,Tech,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKo9e9FE3kgZ,10%,,Updated,,,,Tidak,
Hair Inc,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKmueWfdElmb,10%,,Aktif,,,,Tidak,
House of Ease,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKmvvBtPyyps,10%,Ya,Aktif,,,,Tidak,
HYLE Clothing,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJqE0YsyMIoF,10%,,Aktif,,,,Tidak,
Jas Hujan Raf,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJhj34mikPlg,10%,,Aktif,,,,Tidak,
JIKSO.ID,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJyXuZFwWmRq,10%,,Aktif,,,,Tidak,
Jim's Honey Indonesia,Fashion,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJyXbMZ783xt,10%,Ya,Aktif,,,,Tidak,
Jim's Honey Indonesia,Fashion,Campaign 2,https://affiliate-id.tokopedia.com/api/v1/share/AJyXbMZ783xt,10%,Ya,Aktif,,,,Tidak,
JOYKO,Home & Living,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AKiE5jGr7Z5H,10%,,Aktif,,,,Tidak,
Judydoll,Beauty & Health,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJTBNdYN9FVW,10%,,Aktif,,,,Tidak,
Kikoya Snack,Food & FMCG,Campaign 1,https://affiliate-id.tokopedia.com/api/v1/share/AJMIFrhJcTrq,10%,,Aktif,,,,Tidak,
Laneige,Beauty & Health,BEAUTY SKINCARE X HDA,https://affiliate-id.tokopedia.com/api/v1/share/AL82SA6i05ua,10-11%,,Updated,,,,Tidak,21 July 2026
